,address,price,price_m2,area_m2,rooms,floor,parking,market,build_yr,building_type,elevator,heating_type,max_floor,balcony,backyard,terrace,building_age,district,street,log_price,log_price_m2,log_area_m2
0,"Gdynia, Pustki Cisowskie-Demptowo, Pustki Cisowskie, ul. Borowikowa",530000.0,6625.0,80.0,4.0,3.0,0,wtórny,1981.0,blok,0.0,miejskie,3.0,1,0,0,41.0,Pustki Cisowskie-Demptowo,,5.724275869600789,3.8211858826088454,1.9030899869919435
1,"Gdynia, Oksywie, ul. Benisławskiego",477037.0,10982.0,43.44,2.0,0.0,1,pierwotny,2023.0,,1.0,,11.0,1,0,0,-1.0,Oksywie,,5.678552065146289,4.040681439373358,1.6378898165807905
2,"Gdynia, Orłowo, Bernadowska",1600000.0,24375.0,65.64,3.0,0.0,0,wtórny,2018.0,,0.0,,2.0,0,0,0,4.0,Orłowo,,6.204119982655925,4.3869446243705745,1.8171685723810556
3,"Gdynia, Orłowo, Bernadowska",3399000.0,34571.0,98.32,4.0,1.0,1,wtórny,2020.0,,0.0,,2.0,1,0,0,2.0,Orłowo,,6.53135116458306,4.538711942116912,1.9926418698783976
4,"Gdynia, Pogórze",522950.0,8900.0,58.76,3.0,1.0,1,wtórny,2022.0,apartamentowiec,1.0,miejskie,3.0,1,0,0,0.0,Pogórze,,5.718460167333527,3.949390006644913,1.769081787118219
5,"Gdynia, Redłowo",429000.0,15954.0,26.89,2.0,1.0,0,wtórny,1975.0,,0.0,,4.0,0,0,0,47.0,Redłowo,,5.632457292184724,4.2028695877152105,1.4295908022233017
6,"Gdynia, Wzgórze Św. Maksymiliana, Świętojańska",620000.0,13478.0,46.0,2.0,4.0,1,wtórny,1950.0,blok,0.0,miejskie,4.0,1,0,0,72.0,Wzgórze Św. Maksymiliana,,5.7923916894982534,4.129625452035683,1.662757831681574
7,"Gdynia, Działki Leśne, Pomorska",335000.0,9088.0,36.86,1.0,0.0,1,wtórny,1965.0,blok,0.0,miejskie,4.0,0,0,0,57.0,Działki Leśne,,5.525044807036846,3.958468318366944,1.566555330883055
8,"Gdynia, Redłowo, ul. Bohaterów Getta Warszawskiego 23",579000.0,13786.0,42.0,2.0,6.0,0,wtórny,1970.0,blok,0.0,gazowe,10.0,1,0,0,52.0,Redłowo,,5.7626785637274365,4.139438274158168,1.6232492903979006
9,"Gdynia, Chwarzno-Wiczlino",877000.0,12897.0,68.0,3.0,1.0,1,wtórny,2021.0,apartamentowiec,1.0,miejskie,3.0,1,0,0,1.0,Chwarzno-Wiczlino,,5.94299959336604,4.11048869983667,1.8325089127062364
10,"Gdynia, Grabówek",380000.0,8837.0,43.0,2.0,1.0,0,wtórny,1928.0,kamienica,0.0,miejskie,3.0,1,0,0,94.0,Grabówek,,5.57978359661681,3.9463048549934747,1.6334684555795864
11,"Gdynia, Oksywie",506999.0,8593.0,59.0,3.0,0.0,1,pierwotny,2022.0,blok,1.0,miejskie,3.0,0,1,0,0.0,Oksywie,,5.7050071027358795,3.934144811792477,1.7708520116421442
12,"Gdynia, Cisowa, ul. Chylońska",690000.0,10315.0,66.89,4.0,3.0,0,wtórny,,blok,0.0,miejskie,4.0,1,0,0,,Cisowa,,5.838849090737256,4.013469232309171,1.8253611959526332
13,"Gdynia, Wielki Kack, Lipowa",1589000.0,12646.0,125.65,4.0,3.0,1,wtórny,2007.0,blok,1.0,miejskie,3.0,1,0,0,15.0,Wielki Kack,,6.201123897207379,4.101953177477199,2.0991624929285946
14,"Gdynia, Chylonia",780000.0,12000.0,65.0,3.0,10.0,1,wtórny,2019.0,apartamentowiec,1.0,miejskie,11.0,0,0,1,3.0,Chylonia,,5.892094602690481,4.079181246047625,1.8129133566428555
15,"Gdynia, Orłowo, ul. Bytomska",949000.0,12553.0,75.6,3.0,3.0,1,wtórny,2008.0,kamienica,0.0,gazowe,3.0,1,1,0,14.0,Orłowo,,5.977266212427293,4.098747528824818,1.8785217955012066
16,"Gdynia, Dąbrowa, Sojowa",369000.0,8892.0,41.5,2.0,3.0,0,wtórny,,,0.0,,3.0,0,0,0,,Dąbrowa,,5.567026366159061,3.948999454026953,1.6180480967120927
17,"Gdynia, Działki Leśne",347000.0,9060.0,38.3,2.0,,0,wtórny,,,0.0,,,0,0,0,,Działki Leśne,,5.540329474790874,3.957128197676813,1.5831987739686226
18,"Gdynia, Karwiny, Krzysztofa Kamila Baczyńskiego",459000.0,7516.0,61.07,3.0,3.0,0,wtórny,1988.0,blok,0.0,miejskie,4.0,1,0,0,34.0,Karwiny,,5.661812685537261,3.875986771428488,1.7858279199958655
19,"Gdynia, Śródmieście, Antoniego Abrahama",1950000.0,21196.0,92.0,4.0,3.0,1,wtórny,1938.0,kamienica,1.0,miejskie,6.0,1,0,0,84.0,Śródmieście,,6.290034611362518,4.326253910842292,1.9637878273455553
20,"Gdynia, Orłowo, Bernadowska",1799000.0,24644.0,73.0,3.0,1.0,1,wtórny,2017.0,apartamentowiec,1.0,miejskie,2.0,1,0,1,5.0,Orłowo,,6.255031163345551,4.391711200121372,1.863322860120456
21,"Gdynia, Działki Leśne, Pomorska",1740000.0,17755.0,98.0,4.0,3.0,1,wtórny,2021.0,apartamentowiec,1.0,miejskie,3.0,0,0,1,1.0,Działki Leśne,,6.2405492482825995,4.249320676637634,1.9912260756924949
22,"Gdynia, Orłowo, Świerkowa",1700000.0,22078.0,77.0,2.0,5.0,1,wtórny,2010.0,apartamentowiec,1.0,inne,5.0,1,0,0,12.0,Orłowo,,6.230448921378274,4.343959729007141,1.8864907251724818
23,"Gdynia, Redłowo, Dywizji Kościuszkowskiej",1595000.0,18765.0,85.0,4.0,0.0,1,wtórny,1954.0,kamienica,0.0,gazowe,2.0,0,1,1,68.0,Redłowo,,6.2027606873932,4.2733485687491015,1.9294189257142926
24,"Gdynia, Redłowo, Powstania Śląskiego",389000.0,15136.0,25.7,1.0,4.0,0,wtórny,1969.0,blok,0.0,miejskie,4.0,0,0,0,53.0,Redłowo,,5.589949601325708,4.180011119057718,1.4099331233312946
25,"Gdynia, Redłowo, Dywizji Kościuszkowskiej",1175658.0,14100.0,83.38,4.0,0.0,1,pierwotny,2022.0,apartamentowiec,1.0,inne,2.0,1,0,0,0.0,Redłowo,,6.0702810034456585,4.14921911265538,1.9210618907902786
26,"Gdynia, Śródmieście",1060000.0,14305.0,74.1,3.0,4.0,0,wtórny,1926.0,kamienica,0.0,miejskie,5.0,1,0,0,96.0,Śródmieście,,6.02530586526477,4.155487862141282,1.8698182079793282
27,"Gdynia, Orłowo, Wrocławska",999271.0,13900.0,71.89,4.0,1.0,1,pierwotny,2021.0,apartamentowiec,1.0,,3.0,1,0,0,1.0,Orłowo,,5.99968328386563,4.143014800254095,1.856668483611535
28,"Gdynia, Chwarzno-Wiczlino, ul. Franciszka Sokoła 25",1199000.0,11860.0,101.1,4.0,0.0,0,wtórny,2000.0,apartamentowiec,0.0,kotłownia,3.0,0,1,1,22.0,Chwarzno-Wiczlino,,6.078819183098848,4.074084689028243,2.004751155591001
29,"Gdynia, Redłowo, Dywizji Kościuszkowskiej",885385.0,11500.0,76.99,4.0,-0.5,1,pierwotny,2022.0,apartamentowiec,1.0,inne,2.0,1,1,0,0.0,Redłowo,,5.94713215998255,4.060697840353612,1.8864343196289384
30,"Gdynia, Witomino, Małokacka",745000.0,11594.0,64.26,4.0,3.0,1,pierwotny,2021.0,apartamentowiec,1.0,gazowe,3.0,1,0,0,1.0,Witomino,,5.872156272748293,4.064233296034753,1.8079407212154992
31,"Gdynia, Pogórze, Benisławskiego",680000.0,4564.0,149.0,4.0,2.0,1,wtórny,1993.0,kamienica,0.0,gazowe,3.0,1,0,0,29.0,Pogórze,,5.832508912706237,3.659345635746177,2.173186268412274
32,"Śląska, Gdynia, pomorskie",620000.0,9147.0,67.78,3.0,2.0,1,wtórny,1959.0,blok,0.0,miejskie,4.0,0,0,0,63.0,,Śląska,5.7923916894982534,3.961278679085043,1.8311015645013595
33,"Gdynia, Obłuże, płk. Stanisława Dąbka",599000.0,8437.0,71.0,3.0,9.0,0,wtórny,1970.0,blok,1.0,miejskie,9.0,1,0,0,52.0,Obłuże,,5.7774268223893115,3.926188049107206,1.8512583487190752
34,"Gdynia, Chwarzno-Wiczlino, Władysława Kańskiego",549000.0,12200.0,45.0,2.0,0.0,0,wtórny,2009.0,apartamentowiec,1.0,miejskie,3.0,1,0,0,13.0,Chwarzno-Wiczlino,,5.739572344450092,4.086359830674748,1.6532125137753437
35,"Gdynia, Działki Leśne, Warszawska",340000.0,9977.0,34.08,2.0,-0.5,0,wtórny,1930.0,blok,0.0,elektryczne,3.0,0,0,0,92.0,Działki Leśne,,5.531478917042255,3.9989999722183205,1.5324995860946624
36,"Gdynia, Chwarzno-Wiczlino, Wiczlino",659000.0,10605.0,62.14,3.0,2.0,0,wtórny,2014.0,,1.0,,3.0,0,0,0,8.0,Chwarzno-Wiczlino,,5.81888541459401,4.0255106728525805,1.7933712489189557
