,title,address,price,price_m2,area_m2,rooms,floor,outdoors,parking,market,build_yr,building_type,elevator,heating_type
0,"REZERWACJA Słoneczne, duże, 4 pokoje przy lesie","Gdynia, Pustki Cisowskie-Demptowo, Pustki Cisowskie, ul. Borowikowa",530 000 zł,6 625 zł/m²,80,4,"Piętro
3/3",balkon,zapytaj,wtórny,1981,blok,nie,miejskie
1,Komfortowe Mieszkanie Port Deco M4,"Gdynia, Oksywie, ul. Benisławskiego",477 037 zł,10 982 zł/m²,"43,44",2,"Piętro
parter/11",balkon,garaż/miejsce parkingowe,pierwotny,2023,brak,tak,zapytaj
2,Apartament z ogródkiem w otulinie lasu,"Gdynia, Orłowo, Bernadowska",1 600 000 zł,24 375 zł/m²,"65,64",3,"Piętro
parter/2",zapytaj,zapytaj,wtórny,2018,brak,nie,zapytaj
3,Elegancki apartament z widokiem na las,"Gdynia, Orłowo, Bernadowska",3 399 000 zł,34 571 zł/m²,"98,32",4,"Piętro
1/2",balkon,garaż/miejsce parkingowe,wtórny,2020,brak,nie,zapytaj
4,Osiedle Beauforta - słoneczne mieszkanie,"Gdynia, Pogórze",522 950 zł,8 900 zł/m²,"58,76",3,"Piętro
1/3",balkon,garaż/miejsce parkingowe,wtórny,2022,apartamentowiec,tak,miejskie
5,Mieszkanie po remoncie w Gdyni Redłowo,"Gdynia, Redłowo",429 000 zł,15 954 zł/m²,"26,89",2,"Piętro
1/4",zapytaj,zapytaj,wtórny,1975,brak,nie,zapytaj
6,2 duże pokoje z balkonem blisko morza,"Gdynia, Wzgórze Św. Maksymiliana, Świętojańska",620 000 zł,13 478 zł/m²,46,2,"Piętro
4/4",balkon,garaż/miejsce parkingowe,wtórny,1950,blok,nie,miejskie
7,Duża kawalerka w centrum Gdyni,"Gdynia, Działki Leśne, Pomorska",335 000 zł,9 088 zł/m²,"36,86",1,"Piętro
parter/4",zapytaj,garaż/miejsce parkingowe,wtórny,1965,blok,nie,miejskie
8,Słoneczne 2 pok. mieszkanie w Gdyni Redłowo,"Gdynia, Redłowo, ul. Bohaterów Getta Warszawskiego 23",579 000 zł,13 786 zł/m²,42,2,"Piętro
6/10",balkon,zapytaj,wtórny,1970,blok,nie,gazowe
9,Luksusowy Apartamnt na Fort Forest w Gdyni,"Gdynia, Chwarzno-Wiczlino",877 000 zł,12 897 zł/m²,68,3,"Piętro
1/3",balkon,garaż/miejsce parkingowe,wtórny,2021,apartamentowiec,tak,miejskie
10,Mieszkanie - Gdynia Grabówek,"Gdynia, Grabówek",380 000 zł,8 837 zł/m²,43,2,"Piętro
1/3",balkon,zapytaj,wtórny,1928,kamienica,nie,miejskie
11,"Ogród 85m2 , 400m do Morza - PROMOCJA","Gdynia, Oksywie",506 999 zł,8 593 zł/m²,59,3,"Piętro
parter/3",ogródek,garaż/miejsce parkingowe,pierwotny,2022,blok,tak,miejskie
12,Mieszkanie 4 pokojowe Gdynia Cisowa,"Gdynia, Cisowa, ul. Chylońska",690 000 zł,10 315 zł/m²,"66,89",4,"Piętro
3/4",balkon,zapytaj,wtórny,brak,blok,nie,miejskie
13,Przestronny apartament| 4 pokoje | Wysoki Standard,"Gdynia, Wielki Kack, Lipowa",1 589 000 zł,12 646 zł/m²,"125,65",4,"Piętro
3/3",balkon,garaż/miejsce parkingowe,wtórny,2007,blok,tak,miejskie
14,Apartamentowiec! Mieszkanie z widokiem na Gdynię!!,"Gdynia, Chylonia",780 000 zł,12 000 zł/m²,65,3,"Piętro
10/11",taras,garaż/miejsce parkingowe,wtórny,2019,apartamentowiec,tak,miejskie
15,"Mieszkanie 3 pokojowe 75,6 m + garaż, bezczynszowe","Gdynia, Orłowo, ul. Bytomska",949 000 zł,12 553 zł/m²,"75,6",3,"Piętro
3/3","balkon, ogródek",garaż/miejsce parkingowe,wtórny,2008,kamienica,nie,gazowe
